index,comment,additional_cost,functional_complaint,compatibility_issue,crashing,feature_removal,feature_request,network_problem,privacy_and_ethical_issue,resource_heavy,response_time,user_interface,safety,installation_issue,traffic_wasting,content,update_issue,other
0,有点卡,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,不知道怎么回事，我删除下载的电影删不掉，正在下载的也删除不了，点了删除界面上是删除了，但是重开优酷后又存在了，根本没删掉，重装软件也没用，别的视频软件就没这问题,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,真不好，差极了。广告太多了,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,麻痹的莫名其妙的给我自动续费﹒还取消不了,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,为什么登录不了,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,太差了，还出坑人的活动，办的联通优酷流量包，视频根本没法看，什么破玩意,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,看视频，老是看不了，总是显示什么剧太火什么鬼的，以前都没有，现在越用越差,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,怎么下载不了啦,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,不能看本地的视频，垃圾,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,这次更新完还不如以前了 卡的跟狗似的 手机还发热量奇大,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
10,差评！劳资冲了年会，特喵的缓存慢不说，观看记录经常出现我没看过的记录，有的甚至不堪入目！改了3次密码还是一样，提了3次问题反馈也不给解决，这是拿着老百姓的钱不当钱是不是？！简直不能忍！！能不能有点儿心？别拿着客户的号给别人赚点击？能不能给我们自己选择的权利？,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,来看极限挑战跟RM的,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,广告太长了,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,广告太多了，都不想看了,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,好                                                                      个屁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,老是点一下自动下游戏了,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,我会员还有41天，所以会员电影只能看10分钟！还显示开通会员,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,广告真尼玛多！垃圾！不付钱光看广告了,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,优酷怎么了=-O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,差评,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,用过最讨厌的视频应用！,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,挺好的，就是好多剧都播不了，没版权。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,特么的都不想给你星 麻蛋能看几个啊 垃圾一个 你怎么不去吃大便呢？！动不动就优酷君不知怎么了 你丫都不知道老子看个P啊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,偷拍的视频不经审查就允许发表实在是没有责任心,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,渣渣，缓存慢，广告多，一联网看已经缓存的超清都卡，根本没法边缓存边看，霸道推销，不小心点上广告就直接下载应用，停都停不下来！,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
25,"差评，只能看五十分钟，说要下载优酷APP
望点赞",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,就是广告时间有点长，继续改进！,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,不错,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,广告时间能否短些,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,广告真tm多。广告时间真tm差。,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,网络不给力，差评！╰_╯,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,80秒的广告差点哭出声来,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,垃圾软件，包月用起来和吃屎一样，一个月还15块，每次点开还获取流量失败，垃圾公司，坑钱的垃圾,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,我不想说什么，因为我现在才发现已经好几个月连续扣钱充会员了，虽然据说条款里写了这条，但是默认勾选这种行为真是让人觉得恶心。,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,告诉大家优酷那个删人评论的昨天我评了差评就删我。。。TM不能忍一星我也不想给。删我啊。优酷垃圾乐视都比他好至少他没删我们的评论。。乐视比优酷还高级。我没骗人。同意的双手赞成的↓点！！,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,一直保持唤醒状态，费电,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,下来看个爱情公寓，居然要80秒广告，什么都有广告，不能再忍了，刀了,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,缓存太慢,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,越来越恶心了你会员没广告可以理解，可不是会员你特么70多秒的广告，优酷想钱想疯了！,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,垃圾！更新后打不开了，一打开显示“停止运行”,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,什么都下载不了，广告又长，广告结束还不一定能看,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
41,怎么更改下载路径啊,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,电影更新太慢，网络上都能看了，这里还要会员，有些影片搜索不到，广告时间太长。,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
43,广告太长，网速本来巨快下不了视频;下垃圾软件极速，而且取消不了。看见的千万别下载，就是赚广告费的流氓软件,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,加油↖(^ω^)↗↖(^ω^)↗,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,为什么下载后没有出现在桌面。。。还要到360里来点打开。一星，不能忍,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,我都不想说了,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,麻痹，会员退出都有广告,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,只是有点的卡,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,下视频卡的要死我呸啊！恶心,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,超好,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,"感觉还过得去,五星送会员吧",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,一个一分钟的视频，却有60秒的广告,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,太过分了，连退出也在推销游戏，一不小心点到下载怎么办,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,谈锤子广告,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,闪退。。。。。,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,不更新还好。更了就卡死机。跟腾讯没什么两样,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
57,一星都觉得多了，每次缓冲都带来了75秒广告。还是用爱奇艺好，优酷下载量估计是虚的，我要扔了这垃圾东西。,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,最近两天更新了，现在又更新，越更新看电影广告越长，以前很多电影不收费的，现在也要（会员）收费了！,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,没有负分差评！看一个视屏老子经历了四五次120s的广告，怎么不把你妈给日了,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,很好，就是广告太长。,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61,别的播放器正常运行，就他妈优酷一直提示网络不好，而且是在买了包年会员以后，妈的能退钱不,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,为什不能更新,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,不能改下载路径，不喜欢,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64,广告特多，很烦人,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,好是好，不过看的时候没有时间，很麻烦,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66,根本看不到视频，关了次机还是黑屏，,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
