time,version,comments,class
2021-03-28 09:02:08,15.2.0,有这东西真他妈太垃圾了 抖音极速版 太坑人啦 用家庭早就散了 老婆就跑啦，今天拍抖音 玩抖音极速版 本来好好的一个家庭就是玩着玩着不成一个家了 我希望这个文件。全国都没有就更好一点,bad
2021-03-27 17:36:51,15.3.0,老百姓的平台,best
2021-03-26 23:18:02,15.2.0,为什么老是闪退呢？？？？,best
2021-03-26 10:52:09,15.1.1,很不错,best
2021-03-26 08:41:27,15.2.0,喜欢抖音,best
2021-03-26 08:30:12,15.2.0,我喜欢抖音,best
2021-03-26 07:27:15,15.2.0,很好，值得下载,best
2021-03-25 11:25:34,,抖音就是好,best
2021-03-24 18:45:39,15.2.0,抖音将是未来，立帖为证。,best
2021-03-24 11:17:54,15.1.1,这世上一切美好的事情，你的脸就占了99％！,best
2021-03-23 19:23:34,15.0.0,很欢迎，人数可以,best
2021-03-23 14:55:32,15.1.1,打发时间而已,best
2021-03-22 08:06:06,15.2.0,关注能否再多一点,best
2021-03-22 07:04:51,15.1.1,棒棒的,best
2021-03-22 00:46:31,15.1.1,在抖音记录真活,best
2021-03-20 18:32:53,15.1.1,很好的短视频app!!!!!,best
2021-03-20 14:12:58,15.1.1,为什么我的抖音它闪退？？！,best
2021-03-18 23:27:25,15.1.1,不论在那里，在抖音都记录美好的生话,best
2021-03-18 22:44:47,15.1.1,抖爸爸，杠杠的,best
2021-03-18 21:51:01,14.7.1,抖音功能最强大了，我给五星好评。,best
2021-03-18 20:03:42,15.1.1,挺好的,best
2021-03-18 11:52:18,15.1.1,抖音好平台，平凡人舞台,best
2021-03-18 07:21:34,15.1.1,记录生活美好挺好的，可是随便封号是什么意思，霸王条款，也申诉不了,bad
2021-03-17 17:02:24,14.9.0,抖音伴随你我她,best
2021-03-16 00:01:32,15.0.0,抖音提供了很好的交友平台，随时记录美好生活。,best
2021-03-14 18:19:08,15.0.0,这个软件太好了。,best
2021-03-14 13:11:56,15.0.0,记录每一种生活,best
2021-03-14 12:28:04,15.0.0,我要成网红能帮我办法不抖音,best
2021-03-13 09:02:04,15.0.0,一点也不好,best
2021-03-11 16:31:22,15.0.0,用了几个视频软件，抖音我还是最喜欢的！,best
2021-03-11 05:38:48,14.9.0,再接再厉。希望不吝，呜呜万一一鸣,best
2021-03-10 18:41:45,15.0.0,记录美好生活，太好用了,best
2021-03-10 18:12:37,15.0.0,流氓软件，动不动就自己下载,bad
2021-03-09 20:24:51,14.9.1,更及时的了解时事要闻！,best
2021-03-09 14:40:23,14.9.1,可以吧，不要太沉迷就好,best
2021-03-08 22:55:19,14.9.1,下载抖音绝对不会后悔,best
2021-03-06 20:46:44,14.9.0,用的流畅,best
2021-03-06 10:19:48,14.9.0,好用！,best
2021-03-06 09:55:29,14.8.0,一个车容易可能吧,best
2021-03-05 21:46:52,14.9.0,让我在紧张繁忙的工作之余，有一个减压放松的平台，感谢,best
2021-03-05 21:13:35,14.9.0,抖音很好  就是我流量太差,best
2021-03-05 20:56:28,12.9.0,自从有了抖音跟电视剧彻底说再见了,best
2021-03-05 19:33:06,15.0.0,非常不错的软件,best
2021-03-05 14:29:24,14.9.0,喜欢的软件,best
2021-03-05 11:29:14,14.9.0,了解第一手信息,best
2021-03-05 07:01:26,14.9.0,抖音功能强大，细节越来越完善！很棒！！！,best
2021-03-04 21:24:48,14.9.0,你是什么东西,bad
2021-03-03 22:12:13,14.8.0,抖音平台真很好工作一天苦了累了刷刷抖音乐乐记录生活留下美好的回忆,best
2021-03-03 04:30:27,14.8.0,感谢官方给了我学习和发展的平台,best
2021-02-27 21:18:09,14.9.0,抖音好，我全评满分。,best
2021-02-27 19:13:03,14.8.0,加油,best
2021-02-27 17:55:31,14.8.0,今天下午回去,best
2021-02-27 14:07:52,14.8.0,方便快捷，内容丰富！,best
2021-02-27 09:13:09,14.8.0,抖音好,best
2021-02-26 15:56:41,14.8.0,针不戳,best
2021-02-26 08:54:07,14.7.1,抖音超赞，抖音可不可以给我一些流量呀？抖音超赞的，你拥有，下载,best
2021-02-25 07:36:21,14.7.1,喜欢,best
2021-02-24 22:23:45,14.8.0,挺好看的,best
2021-02-24 18:53:52,14.7.1,真不错,best
2021-02-24 14:20:03,14.7.1,加油,best
2021-02-23 20:01:02,14.7.1,给普通人提供了一个表达自己，自主创业的机会。,best
2021-02-22 22:31:07,14.7.1,我在抖音等你，快点,best
2021-02-22 19:09:19,14.7.1,记录美好时光,best
2021-02-22 17:42:38,14.7.1,真个软件真的很不错,best
2021-02-21 22:06:20,14.7.1,最烦抖音视频自动设定日常模式视频了，不能发文案，自动发视频烦人没有可选性。垃圾,bad
2021-02-21 20:55:47,,很很很很很很很很好好好好好好好好好好好好,best
2021-02-20 12:54:30,14.7.1,不错不错，很接地气！,best
2021-02-20 05:48:32,14.7.1,真好,best
2021-02-20 05:43:25,14.7.1,不错不错,best
2021-02-19 21:19:19,14.7.1,抖音给了我证明和展示自我的平台，感谢抖音的制作者和管理者们！祝抖音在新的一年里越办越好，更上一层楼！,best
2021-02-19 18:43:32,14.7.1,很好，记录美好生活！,best
2021-02-18 22:38:48,14.7.1,其他没毛病，就是越来越多广告了,best
2021-02-18 20:45:55,14.7.1,好玩，好用！,best
2021-02-18 08:03:12,14.7.1,我喜欢抖音，他是我们老百姓的舞台，能展示才艺，也能记录生活。,best
2021-02-18 00:37:25,14.7.1,无聊的时候刷一刷。在这里面学到了许多。,best
2021-02-17 14:36:35,14.7.1,搞笑,best
2021-02-16 18:56:55,14.7.1,%%Vj9rb4LAUf8%% @独自行走 在抖音发布le新宱品,best
2021-02-16 12:36:00,14.7.1,大平台，挺好的！,best
2021-02-16 08:17:55,14.7.1,非常好的一个平台,best
2021-02-16 02:38:09,14.7.1,很好用！,best
2021-02-15 21:46:34,14.7.1,挺喜欢的一款软件,best
2021-02-14 17:07:44,14.7.1,一路兜兜转转，有折腾才有人生,best
2021-02-14 10:30:57,14.7.1,很好,best
2021-02-13 21:26:01,14.7.1,还用说中国日常生活了刷一刷快乐发一发记录美好生活,best
2021-02-13 07:40:52,14.7.1,祝抖音全体领导及工作人员身体健康，万事如意，心想事成！牛年大吉！,best
2021-02-13 05:34:16,14.7.1,抖音就像神一样的存在,best
2021-02-12 14:36:09,14.6.2,谢谢！新春快乐！新年快乐！牛年快乐！牛气冲天，好人一生平安。身体健康，平安是福。,best
2021-02-11 21:52:21,14.1.0,好的,best
2021-02-11 21:46:09,13.9.0,人生轨迹不一定会按你喜欢的方式运行,best
2021-02-11 21:07:47,14.7.1,牛牛气冲天的app,best
2021-02-11 15:05:05,14.7.0,分我一个发红包⊙ω⊙,best
2021-02-11 00:42:42,14.7.1,很好玩,best
2021-02-10 17:30:57,14.7.0,神器,best
2021-02-09 13:57:21,14.7.1,很好，就是不会玩,best
2021-02-09 10:42:50,14.7.1,抖音拍摄视频后第二天一打开抖音就闪退是怎么回事,best
2021-02-08 23:48:17,14.7.1,我很喜欢听抖音,best
2021-02-08 23:46:15,14.7.1,我很喜欢看抖音,best
2021-02-08 23:29:46,14.7.1,抖音短视频让我更有创新未来的感觉,best
2021-02-08 22:53:06,14.7.1,老百姓的舞台！,best
2021-02-08 16:46:04,14.7.1,抖音内容素材广泛，上传速度快，粉丝群体庞大,best
2021-02-08 16:06:41,9.7.1,特别喜欢用的,best
2021-02-08 15:06:45,14.7.1,很好看的，就是后面没有吗！,best
2021-02-08 14:41:36,14.7.1,太好用了,best
2021-02-08 05:33:37,14.7.0,很喜欢抖音，每天都看，,best
2021-02-08 02:39:07,14.7.1,普通人娱乐学习的好平台,best
2021-02-08 01:23:52,14.7.1,好好好好好好好,best
2021-02-08 00:09:43,14.7.1,服务很好,best
2021-02-07 22:25:06,14.7.1,超好用,best
2021-02-07 19:21:41,14.7.1,抖音记录美好生活美好的你！,best
2021-02-07 12:38:49,14.7.1,拍视频挺好的,best
2021-02-07 11:57:26,14.7.0,反正怎么说呢，就挺棒,best
2021-02-06 20:12:40,14.5.0,可以记录美好生活舜间，,best
2021-02-06 16:04:23,14.0.0,还行,best
2021-02-06 10:22:35,14.6.1,不喜欢的内容频繁出现,good
2021-02-06 09:33:03,14.7.1,好玩啊,best
2021-02-05 23:34:19,14.7.0,抖音记录美好生活,best
2021-02-05 12:04:33,14.7.0,已经是人们的一种生活方式了，加油！,best
2021-02-04 23:29:30,14.7.0,关心我,good
2021-02-04 14:53:32,14.7.0,闲的没事的时候就刷刷视频解解闷，现在已经是这样的流行趋势了。,best
2021-02-04 09:18:11,14.7.0,新的一年，愿所有人在抖音成就小小梦想。,best
2021-02-04 06:29:06,14.7.0,感谢抖音提供平台,best
2021-02-03 00:31:51,14.6.2,观看和创作永远是密不可分,best
2021-02-02 23:04:51,14.6.2,非常棒棒一个平台,best
2021-02-02 22:38:38,14.7.0,很不错的软件,best
2021-02-02 14:03:29,9.1.1,限流很棒,best
2021-02-01 21:55:39,14.6.2,好，很有魅力和欣赏价值,best
2021-02-01 18:51:40,14.1.0,非常奈斯,best
2021-01-31 22:28:41,14.6.1,这个太好用了！,best
2021-01-31 10:41:48,14.3.0,有点好,best
2021-01-30 15:05:25,13.0.0,完美,best
2021-01-29 14:05:59,14.6.1,如果播放量按点赞数递增的话，人人都能真正记录美好生活。,best
2021-01-28 22:25:47,14.7.0,好很好，抖音是未来！,best
2021-01-28 21:02:36,14.6.0,这个抖音平台真好，能让不开心的人们，都开心起来，喜欢……,best
2021-01-28 13:35:58,14.6.0,很好！,best
2021-01-27 15:03:55,14.3.0,不错不错,best
2021-01-26 18:36:40,14.1.0,每天的精神食粮,best
2021-01-26 09:54:17,14.5.1,敲好，值得下载,best
2021-01-25 10:20:47,14.4.0,五星好评，杠杠的！,best
2021-01-24 22:18:07,14.5.0,抖音打开了一个新窗口，让我又忙碌了起来！,best
2021-01-24 21:45:29,14.4.0,挺好,best
2021-01-24 21:15:51,14.5.1,可以的，当代鲁迅，当代史官,best
2021-01-24 21:06:04,14.5.1,不错期待更好,best
2021-01-24 18:03:03,14.5.1,挺好玩的APP能交朋友，也能看到很多有趣的东西,best
2021-01-24 17:30:07,14.5.1,不错,best
2021-01-22 18:52:11,14.6.0,搞的不错,best
2021-01-22 07:07:40,14.5.0,抖音上抖一抖，活到九十九。,best
2021-01-21 10:05:00,14.5.0,垃圾,bad
2021-01-20 00:23:15,14.4.0,每天刷,best
2021-01-19 00:12:49,14.5.0,好啊，求关注，名字主播名场面。。。持续更新,best
2021-01-18 17:40:52,14.4.0,好玩好用,best
2021-01-17 19:18:14,14.3.0,我开始我抖音时，就交了好多朋友，谢谢抖音这个软件,best
2021-01-17 12:57:53,12.8.0,棒 棒棒哒,best
2021-01-17 12:23:13,14.4.0,非常不错,best
2021-01-16 18:55:42,14.4.0,很好，现在每天不刷不看几下子，浑身难受,best
