time,version,comments,class
2021-03-27 23:22:14,8.0.2,下载快网络好,best
2021-03-27 13:36:55,8.0.2,我来说两句，你就站在冠军的位置上，我去帮你买几个橘子,best
2021-03-27 06:29:12,8.0.1,好好好真不错,best
2021-03-27 00:27:49,8.0.2,真不咋地。,bad
2021-03-27 00:20:27,8.0.2,很好用。,best
2021-03-27 00:14:42,8.0.0,非常好,best
2021-03-24 20:01:17,8.0.1,这个张小龙真是疯了。搞个微信临时登录功能之后呢还需要再激活。而且只给我了个一个临时登陆，临时登陆还有限制。显示时间短，等我登录又需要激活了，再激活还临时登录， 激活了之后呢还得需要绑定银行卡实名认证。两个字就是不好。,bad
2021-03-23 16:16:34,6.6.2,微信都在用,best
2021-03-23 16:10:23,6.6.2,微信都在用，真好,best
2021-03-22 19:28:49,8.0.1,就是太占手机内存了。,good
2021-03-21 14:54:14,8.0.1,很好的聊天工具，就是有的时候会网卡。,best
2021-03-21 09:31:28,7.0.19,？？？？？,best
2021-03-21 08:18:07,8.0.1,方便交流，提高生活沟通方式，加快生活节奏，获取新知识，新乐趣。,best
2021-03-19 13:42:47,6.6.2,好的,best
2021-03-19 13:17:38,7.0.17,占用内存太大，你是更新负优化,bad
2021-03-19 05:15:28,6.6.2,这个微信不好用，上不去,bad
2021-03-18 20:48:55,8.0.1,版本有问题，新安装后部分好友消失。希望尽快解决,bad
2021-03-18 00:24:20,8.0.1,要更新。版本太低。,best
2021-03-17 09:09:00,8.0.1,"微信为什么还要安全验证呢？为什么要扫一下，二维码呢？
微信必须要什么绑定银行卡之内的
你们微信是不是人的软件啊？
如果微信是这样子的话，请把微信下架吧！
我们不使用微信，反正要必须绑定什么银行卡之类的，我们不需要，而且我们根本不需要什么安全验证，什么样二维码扫描",good
2021-03-16 19:14:31,7.0.15,希望增加刷脸登录功能和刷脸重置密码功能。这样重置密码更方便。,best
2021-03-14 20:58:20,7.0.16,太棒啦。,best
2021-03-14 11:59:12,6.7.3,怎么下载微信6.7.3版,best
2021-03-14 04:40:55,8.0.1,附近的部分人经常我想卖鸡儿,good
2021-03-13 20:42:35,7.0.6,很好用,best
2021-03-13 09:47:45,8.0.0,奶思奶思,best
2021-03-12 20:08:14,8.0.1,不三不四,bad
2021-03-12 10:02:26,,good,best
2021-03-08 22:15:48,7.0.20,开心,best
2021-03-08 04:09:38,7.0.3,非常好用，又快,best
2021-03-07 17:46:22,8.0.1,很好,best
2021-03-07 12:57:34,6.6.2,好好好,best
2021-03-07 11:48:14,6.6.2,太好了,best
2021-03-07 06:21:07,8.0.1,很好用,best
2021-03-06 19:57:06,8.0.1,能不能把礼花带出响声，最好,best
2021-03-06 12:52:54,7.0.19,还可以,best
2021-03-05 18:57:24,8.0.1,你女儿也应该被人玩爱情吧,bad
2021-03-05 17:21:18,8.0.1,以为自己是武警,bad
2021-03-04 22:46:32,6.6.2,登微信,best
2021-03-04 22:00:00,8.0.1,一样的姿势不一样的身份证以为玩得高级,bad
2021-03-04 21:38:44,8.0.1,死有余辜有的人p,bad
2021-03-03 18:24:33,7.0.8,如此,best
2021-03-03 03:20:33,6.6.2,版本太底,best
2021-03-02 11:03:12,7.0.15,我本来就很麻烦情绪很多爱哭黏人喜欢胡思乱想，这换谁都接受不了，我知道所以我没有打算成为谁的偏爱和例外,best
2021-03-01 17:25:14,8.0.1,啦啦,best
2021-03-01 11:52:02,6.6.2,好好,best
2021-03-01 01:35:10,7.0.21,我很喜欢这个微信,best
2021-02-28 16:39:47,8.0.1,为什么我的实名认证要银行卡才行？有什么办法不用吗？,bad
2021-02-27 19:29:09,6.6.2,感谢有了微信这个平台，让我们感受到网络时代的好处，通过微信平台让我们感觉到什么时候都能上网和与人勾通，谢谢了平台。,best
2021-02-26 13:34:38,8.0.1,不错啊,best
2021-02-26 00:14:28,6.6.2,没有刷朋友圈的习惯,best
2021-02-25 20:24:42,6.6.2,占用空间大,best
2021-02-25 17:23:40,8.0.1,为啥我进不去了？？？？,bad
2021-02-25 16:02:22,6.6.2,不怎么好。,bad
2021-02-24 10:38:33,8.0.0,软件很好  建议下载  有一小块地方有缺点,best
2021-02-23 11:08:08,6.6.2,我爱,best
2021-02-20 03:34:49,7.0.22,一个聊天支付软件越做越大，我指的是容量。。。加些胡里胡哨的多余功能。。。给2星吧，从微信第一年出来开始用到现在。。。该有的功能不优化。。。,good
2021-02-19 22:00:19,7.0.19,nice,best
2021-02-19 12:24:37,8.0.1,我一般不会看朋友圈,best
2021-02-18 21:49:55,8.0.1,好一个绑定银行卡，我一学生党怎么办,good
2021-02-18 09:01:58,8.0.1,挺好的。,best
2021-02-16 12:20:36,7.0.12,有新红包用,best
2021-02-15 16:00:30,7.0.15,小程序里面有些东西好玩，有些东西不好玩。,best
2021-02-15 14:33:57,6.6.2,太慢了会卡死。,good
2021-02-14 23:19:04,7.0.18,非常不错哟!,best
2021-02-14 13:50:57,8.0.1,非常好！赞！,best
2021-02-14 09:26:19,8.0.0,很好,best
2021-02-14 09:02:39,7.0.12,好好好好好,best
2021-02-13 17:20:36,6.6.2,不能更新吗？？？,bad
2021-02-12 15:55:17,8.0.1,好闲,best
2021-02-12 10:07:15,8.0.1,好用,best
2021-02-11 18:17:44,8.0.1,很好用，用了好几年了,best
2021-02-11 16:00:00,8.0.0,我不经常翻朋友圈,best
2021-02-11 01:57:20,8.0.1,优秀！,best
2021-02-11 00:22:27,6.7.3,喜欢,best
2021-02-10 23:19:32,7.0.18,下载下不了,best
2021-02-10 22:49:02,7.0.15,我感觉微信这个软件挺好的 但是感觉没有QQ的花样多 而且微信的表情太少了,best
2021-02-10 11:25:57,8.0.1,体积越来越大，啥时候推出极速版？,best
2021-02-10 04:18:03,7.0.9,登录太麻烦了,best
