time,version,comments,class
2021-03-26 23:37:15,10.2.15.9500,用支付宝习惯了，现在几乎离不开它了,best
2021-03-24 20:05:44,10.2.15.9500,我以前我还是有支付宝，还好长时间不登陆。永久嗯。不会被捉小，不会被自动注销。哎。我现在才知道了。原来支付宝也有自动注销功能。我真的佩服你。手动注销还算行。自动注销都不需要了。长时间不登录也不能有自动注销功能呀。,bad
2021-03-21 09:37:24,10.2.15.9500,功能都不如微信了，一样的小程序微信有的支付宝没有，有些差别,good
2021-03-14 15:39:06,10.2.15.9500,可以很好用5星,best
2021-03-10 08:58:40,10.2.15.9500,生活离不开支付宝,best
2021-03-10 08:34:45,10.2.15.9500,生活少不了支付宝,best
2021-03-03 03:32:34,10.2.15.9500,红方,best
2021-03-01 18:27:12,10.2.13.9020,生活中已经离不开支付宝了。。。,best
2021-03-01 14:49:34,10.2.13.9020,不错,best
2021-03-01 01:59:32,10.2.12.9020,非常实用，买个东西都方便，还省了不少钱，我很看好这款软件。,best
2021-02-26 11:20:42,10.2.13.9020,支付宝首页搜索526363904领取最新红包,best
2021-02-22 18:02:54,10.2.13.9020,好评,good
2021-02-16 10:02:25,10.2.13.9020,过年扫福活动简直恶心，莫名其妙加了个什么相互宝，莫名其妙被扣5块钱，敢不敢少一点套路，多一点诚意啊，现在的软件都成了流氓软件，都是套路，简直无语。扣的钱虽然不多，恶心可是不少。,bad
2021-02-15 17:48:02,10.2.13.9020,支付宝,best
2021-02-13 20:58:30,10.2.13.9020,比较快,best
2021-02-13 20:45:48,10.2.13.9020,还行比较快！,best
2021-02-13 20:43:43,10.2.13.9020,还可以！,best
2021-02-11 17:44:13,10.1.92.7000,喜欢,best
2021-02-10 21:08:17,10.2.13.9020,里面有很多自动扣费项，如众安保险，未经用户许可就自动扣取费用！,good
2021-02-06 05:32:30,10.2.10.7020,一打开就有广告。真棒。付款都是麻烦。,bad
2021-02-02 12:38:50,10.1.92.7000,可以,best
2021-01-30 14:20:47,10.2.13.9020,人脸识别？,bad
2021-01-28 18:39:38,10.1.82.9020,好评,best
2021-01-26 12:58:21,10.2.3.9000,方便实用！,best
2021-01-25 18:42:54,10.2.13.9020,感觉挺不错的，很方便快捷,best
2021-01-24 02:21:36,10.2.12.9020,我很喜欢你们这个平台,best
2021-01-22 12:37:20,10.2.12.9020,我喜欢,best
2021-01-22 12:25:18,10.2.12.9020,这个平台非常好,best
2021-01-22 12:22:58,10.2.12.9020,你们这个平台非常好我喜欢,best
2021-01-16 10:51:55,10.2.12.9020,可以是可以，但是我是新人，不知道怎么领取红包，谁能告诉我，抱拳感谢,best
2021-01-16 10:49:29,10.2.12.9020,怎么领钱？,best
2021-01-14 17:12:06,10.2.12.9020,大中分选择,best
2020-12-30 23:05:59,10.1.92.7000,满意,best
2020-12-11 14:58:47,10.2.8.7000,支付宝有的见面儿我的手机打不开呢，其他的手机就能打开。,best
2020-11-15 13:53:39,10.2.6.7010,嗯，我建议你们。可以呀。出一个教程。什么邀请呢？教如何扫码机器扫码扫脸支付。加好友转账。这些教程。弄到一个微信公众号。或者是小程序。都可以介绍如何使用方法。,good
2020-11-15 10:16:48,10.2.3.9000,支付宝用着很方便。,best
2020-11-13 12:13:51,,真心的要大力赞扬支付宝软件，是全球目前最好的app软件。它除了拥有其它软件应用存在的聊天和支付功能之外，还有信用额度使用功能。更难得的是支付宝要求的安卓版本比较低，安卓4.4.4还可以使用。总之支付宝是全球最优秀的应用，其它应用远远不能和支付宝相提并论。,best
