time,version,comments,class
2021-03-27 09:27:27,5.30.0,非常好,best
2021-03-22 18:28:01,5.54.0,越来越垃圾步数，金币都兑换不了,bad
2021-03-19 12:31:54,5.54.0,看直播会闪退，其他的还可以,good
2021-03-18 16:47:00,5.54.0,咋肿！开头送我八十多，原本挺开心，以为能提现，接着要我摇不能提现的现金，开头四分钱，累计奖励也是四分钱，接着是两分钱，一分钱，接着是金币。糙拟抹哔！,best
2021-03-18 05:37:44,5.54.0,垃圾中的垃圾软件！全是虚假宣传！全是骗人的！315打假怎么就没有把拼多多曝光呢！全民抵制拼多多！！！,bad
2021-03-14 21:25:24,5.53.0,骗子软件垃圾软件骗人邀请人，现金变成垃圾优惠券谁用谁入坑,bad
2021-03-14 19:01:26,5.53.0,黄总你好。我曾经帮过您。我听说您在找我。果园浇水一件多浇水。直播卖货。照相搜索商品。我现在在快手上是中国俊男。网名。如果您还想让我。独立研发的技术。为你挣更多的钱。我希望黄总。你能把。把拼多多的股份。让出。70的股份给我。我会让平台挣的更多。,good
2021-03-13 12:52:19,,骗子平台.垃圾券骗人.给了我一张1折券.原来8元钱的插座卖110.一折11元.必须举报,best
2021-03-12 08:32:38,5.53.0,流氓软件，骗子软件，千万别装，建议监管查处！,bad
2021-03-11 07:17:04,5.51.0,好用,best
2021-03-10 17:30:56,5.51.0,吃的可以买，用的就不要在这里买了，质量不怎么好,good
2021-03-10 07:01:42,5.51.0,想让天天竞价回来  希望,good
2021-03-07 16:51:30,5.51.0,拼多多真的是一个很好的软件，如果喜欢购物的姐妹请下载这款软件,best
2021-03-06 23:25:25,5.51.0,优惠多多,best
2021-03-03 18:49:57,5.51.0,拼多多,best
2021-03-03 11:39:41,5.50.2,这个什么软件就因为东西便宜才会多人下载 最讨厌里面那些优惠卷活动 非要下单你才给是吗？ 还有签到哪里本来兑换币4000就能兑换了只是两三天没有兑换就变成10000呵呵  兑换币一天才给那么40个不到 呵呵去下单就多咯 这是什么道理遍商家下单吗？啊我就想问 黑心软件 物流也差的要死 客服还一个样,bad
2021-02-28 14:49:44,5.10.0,拼多多客服也是同样的服务态度，太消极了，太敷衍了，那个商家也没退一百块钱给我，总付了279元，只退了179，拼多多客服像傻逼一样，也是骗钱的，叫人工服务也只有那句话。大家要在拼多多买东西小心点，被人骗了拼多多客服官方根本不会帮你处理，外表上你帮你处理，其实已经收了不少钱。公司和店铺真他妈黑心，有图。你们大家来看看，我这一百就是这样被骗去了,bad
2021-02-28 08:38:26,5.51.0,分享拼单根本拼不成，骗子死全家，,bad
2021-02-28 08:21:33,5.51.0,次史史拉几软件,bad
2021-02-26 18:31:55,5.51.0,谁还说拼多多好的，用了这么久。砍刀砍够了还是不给。又多了不少人还是不给。啥意思,bad
2021-02-25 16:04:23,5.51.0,不咋地，都是假货，客服完全机器人，不解决问题，工商管理局包庇，投诉举报不理睬，建议谨慎购买！！！,bad
2021-02-24 19:02:13,5.50.2,拼夕夕,bad
2021-02-23 07:32:15,5.50.2,提现门槛太高根本提现不了,bad
2021-02-22 22:31:52,5.50.2,我不知道这样不守承诺的应用是怎样诞生的，又是怎么火起来的。砍价一直让你邀请好友，没个底线，真是希望越大，失望越大。客服服务也极其敷衍。我从来没给一个软件打过差评，你是第一个。垃圾商家，不守承诺。祝你早日下架，别在欺骗消费者了。⊙_⊙,bad
2021-02-22 16:56:45,5.50.2,骗子,bad
2021-02-22 14:24:53,5.50.2,根本就没法免单！,bad
2021-02-22 12:56:29,5.50.2,拼多多的红包都是骗人的，微信零钱也是骗人的，根本提不出来,bad
2021-02-22 09:59:40,5.50.2,他说下三单可以免单，但是我下了三单，他要说打卡可以免单，一会又说打五次卡，可以免一次单。而且有的时候上面已经说打折了，把钱给扣了九块钱，但是他还要从我的优惠券里扣，才能扣掉九块钱，我抽奖抽到了70多块钱，他告诉我要攒到88块钱才能领，而且攒钱的速度简直就是龟速,bad
2021-02-21 21:29:50,5.50.2,简直就是一个流氓软件，好端端买个东西都要七大姑八大姨的来砍价，还要不要人好端端买东西了？？！,bad
2021-02-21 10:28:34,5.50.2,爬爬爬虚假宣传恶性广告牛死了,bad
2021-02-19 12:58:51,5.30.0,非常恶心各种东西搞不停本来是一款购物软件他这样弄成了一个什么拼红包软件真的恶心有这些功夫去拉一些客户不如把自己产品质量搞上去用的人自然多……,bad
2021-02-17 12:46:48,5.50.2,说好的免三单，还一些试试，还要签到七天，混蛋玩意儿╰（‵□′）╯,bad
2021-02-15 11:53:19,5.50.2,坑人 差,bad
2021-02-15 01:05:58,5.50.2,垃圾,bad
2021-02-14 15:36:42,5.30.0,实惠，好用，信誉，亲民！,best
2021-02-14 13:37:59,5.50.2,拼多多套路最深,bad
2021-02-12 20:48:49,5.50.2,垃圾软件，福利都是假的,bad
2021-02-12 00:48:12,5.50.2,"死骗子，我就想知道，17块几的红包，提现给了4分，你到底是怎么算出来的？提现各种规则卡你，你就在那里做他的各种任务，等一天，你也凑不齐他那个20元，提现我本来认了，想着提5元也可以也是赚的，结果提完给4分，我不缺你那4分，不要没事玩我
傻逼软件，傻逼策划，拿群众当傻逼的人，我祝你早晚倒台",bad
2021-02-12 00:14:09,5.50.2,傻逼拼多多，里面抢红包免费拿之类的全都是骗人的，傻逼软件，就知道坑你时间，最后绝对不会让你得到，傻逼东西，坑人坑疯了吧,bad
2021-01-28 16:08:04,5.49.0,分享拼单根本拼不成，骗子死全家,bad
2021-01-28 10:00:04,5.48.0,"本来不想评分的
但是当打开很多其他APP或软件都出现了""拼多多""的诱导下载广告(关键不小心误点广告就自动下载，恶心)之后，只想来专门""评""一下:垃圾软件，套路颇深的垃圾软件!!",bad
2021-01-28 03:36:10,5.46.1,多多买菜，次日附近门店提货，自提，去门店提货要不要钱，有谁买过的告知下，谢谢,good
2021-01-27 18:49:08,5.0.0,垃圾东西全都是骗人的。拼多多上面搞活动。全都是骗人的。,bad
2021-01-26 17:40:01,5.46.1,拼多多很好用，购物很便宜，我使用拼多多两年多了,best
2021-01-24 11:56:59,5.30.0,垃圾流氓软件，死不要脸,bad
2021-01-22 18:15:59,5.47.0,拼多多是我见过最下流的流氓软件，创始人和运营者应该死全家的流氓软件！,bad
2021-01-22 13:10:32,5.47.0,垃圾,bad
2021-01-22 07:57:29,5.47.0,这不就是流氓软件吗。套取客户信息。店铺大多挂羊头卖狗肉。就是后台比较硬点吧。,bad
