time,version,comments,class
2021-03-18 10:27:59,,太占地方？1G多,bad
2021-03-18 10:22:42,,为什么这么占地方？1G多！,best
2021-03-14 05:02:52,12.10.5.10,有时候聊天软件上有非常多卖软件的私信号,best
2021-03-13 10:40:03,12.9.0.11,不好用,bad
2021-03-02 21:51:42,12.9.0.11,好好好！,best
2021-03-01 19:47:43,12.10.0.10,广告台!!!,best
2021-02-20 08:30:26,12.9.0.11,什么妲己你又弄那么多广告，我tmd看广告的奖励对不对，他妈却让我下了这个破百度，百度这个垃圾。这个破百度有啥用，你看吧，你手机里肯定会安装一个系统的流量管理器，要你这个百度有毛用就把科目二取消了，垃圾应用。,bad
2021-02-19 21:49:23,9.2.0.10,有一次真是的，我想查一查在怎么给杨紫打榜，搜索了半天都找不到,bad
2021-02-19 21:45:54,9.2.0.10,百度，我挺喜欢的，因为她,best
2021-02-16 09:19:47,12.9.0.11,百度可以改变生活,best
2021-02-15 09:50:12,9.2.0.10,好用就是登录几天又要重新登录,best
2021-02-15 08:20:22,12.9.0.11,垃圾垃圾垃圾，我进去就黑屏。垃圾垃圾，真垃圾，真垃圾。,bad
2021-02-12 22:43:20,12.9.0.11,百度app，搜索个百度贴吧，只能看两三层楼，我真的服，绝了,good
2021-02-05 13:23:35,12.9.0.11,"消耗耐心的消耗信任的我都不想再投入任何什么玩意一群鸟合之众分的也是内部消化本质就是没有流量迫切需要破圈玩不起就别玩浪费时间欺骗
行为",bad
2021-02-01 13:51:53,12.8.5.11,百度有可能不是最大的官方萬一遊戲是最大的官方呢？如果百度能控制所有的官方，我就喊他爹。,best
2021-01-23 13:02:40,12.2.0.12,有时候想搜的搜不到,best
2021-01-20 21:47:51,12.8.0.10,很好,best
2021-01-20 19:12:04,12.7.0.10,不错不错！,best
2021-01-03 19:49:34,12.6.0.10,。。。。还行,good
2021-01-02 07:14:11,12.6.0.10,非常好用啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊？,best
2020-12-25 20:58:20,12.6.0.10,越来越差了呢，好多东西都找不到啊！，我真的想把它卸载了，但是一想用了好多年，为了怀旧吧，先留些日子,bad
2020-12-24 15:21:34,12.6.0.10,还可以,best
2020-12-16 23:47:28,12.5.1.11,不错,best
2020-12-11 06:11:13,12.5.0.11,没想到百度这么大一家公司也真个他妈骗子，辛辛苦苦攒了一年多积分，一夜之间一百多万积分竟然变成了区区十块钱！以前百度八千积分可以兑换十块钱，而现在却翻了100多倍，骗人也没有这么骗的啊！诅咒百度这个骗子公司早日黄摊子，早日关门大吉！,bad
2020-11-27 19:34:54,12.3.0.11,太好用了,best
2020-11-22 16:23:14,12.3.0.11,很不错   很喜欢这个软件,best
2020-11-19 22:46:36,12.3.0.11,查要找的东西没有，全是百家号，广告，查病一大堆百家号广告，真耽误事，真不知道百度怎么活到今天的？？？还不如谷歌呢，祝百度早日消失！,bad
2020-11-19 18:27:24,12.3.0.11,广告一堆,bad
2020-11-18 00:01:20,12.0.5.11,努力。,best
2020-11-17 20:10:12,12.1.0.10,差不出来,good
2020-11-15 18:39:44,12.3.0.11,差评差评差评,bad
2020-11-05 23:19:49,12.2.0.12,广告有点多，但是还是挺万能的,best
2020-11-03 01:48:24,12.2.0.12,为啥越更新越卡？,bad
2020-10-24 01:27:16,12.2.0.12,:   太好了太好了太好了太好了太好了,best
2020-10-04 10:12:02,12.0.5.11,一級棒。,best
2020-09-17 06:21:06,12.0.0.11,垃圾！卡的要死,bad
2020-09-09 23:14:15,11.26.5.10,很好！,best
2020-09-06 21:12:04,11.26.5.10,历史记录他妈的不全，很多都丢失，太可恨了,bad
2020-09-05 18:09:55,11.26.5.10,你的多窗口真的让我气的直接卸载，为了好留评论，我又重新下载安装，就为了能骂百度多窗口的脑残设计！！！再见，继续卸载，恶心,bad
2020-08-31 00:43:01,11.26.5.10,还可以。还可以,good
2020-08-24 15:09:50,11.26.0.10,非常好用,best
2020-08-10 18:19:37,11.5.0.10,"康贝
宠物医院服务到位，为养狗的人做得到位，可以发展下去的，。我们共同的爱心之家！",best
2020-08-05 23:41:35,11.25.5.10,难用,bad
2020-08-04 13:54:32,11.22.5.10,一颗星都不想给，垃圾,bad
2020-08-01 16:33:39,11.24.5.11,"This baidu is very easy to use. Personal advice can go to download and see. I can't comment. Anyway, this one is really good to use. Although I speak English, but in front of the screen.Some of you will understand, right.",best
2020-08-01 10:09:12,11.25.0.11,这什么垃圾软件比如说我想下载一个饥饿鲨世界破解版。他那里写的是破解版结果我下完之后直接变回原版，根本就不是破解版。我下了十几次都没用。,bad
2020-07-31 22:22:36,11.25.9.10,百度是个宝，与浏览器相比方便多了，不香吗？,best
2020-07-30 23:58:49,11.25.5.10,小说插件太恶心了,bad
2020-07-30 09:18:48,11.25.0.11,很好,best
2020-07-29 09:47:22,11.24.5.11,进不去，有毒吧,bad
